Date,Not indexed,Indexed,Impressions
2026-03-31,2926,3016,5931
2026-04-01,2903,3026,6351
2026-04-02,2903,3026,6397
2026-04-03,2903,3026,6799
2026-04-04,2903,3026,7152
2026-04-05,2905,3016,6651
2026-04-06,2905,3016,7553
2026-04-07,2911,3070,7175
2026-04-08,2911,3070,7339
2026-04-09,2911,3070,6880
2026-04-10,2911,3070,7179
2026-04-11,2921,3055,7029
2026-04-12,2921,3055,6104
2026-04-13,2921,3055,7378
2026-04-14,2923,3047,7217
2026-04-15,2923,3047,7074
2026-04-16,2923,3047,7198
2026-04-17,2923,3047,8151
2026-04-18,2948,3010,8190
2026-04-19,2948,3010,6883
2026-04-20,2948,3010,6611
2026-04-21,2990,3076,6615
2026-04-22,2990,3076,6096
2026-04-23,2990,3076,6801
2026-04-24,2990,3076,6493
2026-04-25,2984,3047,6424
2026-04-26,2984,3047,5932
2026-04-27,2984,3047,7003
2026-04-28,3134,2889,6980
2026-04-29,3134,2889,6371
2026-04-30,3134,2889,7249
2026-05-01,3134,2889,6351
2026-05-02,3171,2861,7151
2026-05-03,3171,2861,6754
2026-05-04,3171,2861,6823
2026-05-05,3226,2940,6949
2026-05-06,3226,2940,7219
2026-05-07,3226,2940,7340
2026-05-08,3226,2940,6971
2026-05-09,3237,2929,7094
2026-05-10,3237,2929,6674
2026-05-11,3237,2929,8144
2026-05-12,3241,2944,7335
2026-05-13,3241,2944,7966
2026-05-14,3241,2944,6768
2026-05-15,3241,2944,7079
2026-05-16,3285,2949,6540
2026-05-17,3285,2949,5906
2026-05-18,3285,2949,6397
2026-05-19,3245,3038,6979
2026-05-20,3245,3038,6355
2026-05-21,3245,3038,6281
2026-05-22,3245,3038,6700
2026-05-23,3226,3054,6450
2026-05-24,3226,3054,6557
2026-05-25,3226,3054,7212
2026-05-26,3225,3049,5495
2026-05-27,3225,3049,4135
2026-05-28,3225,3049,5421
2026-05-29,3225,3049,7139
2026-05-30,3396,2884,7740
2026-05-31,3396,2884,7152
2026-06-01,3396,2884,7926
2026-06-02,3449,2876,7554
2026-06-03,3449,2876,7025
2026-06-04,3449,2876,7303
2026-06-05,3449,2876,7577
2026-06-06,3478,2870,8360
2026-06-07,3478,2870,7608
2026-06-08,3478,2870,8090
2026-06-09,3517,2860,8714
2026-06-10,3517,2860,8045
2026-06-11,3517,2860,8631
2026-06-12,3517,2860,8249
