Country,Clicks,Impressions,CTR,Position
United Arab Emirates,6654,1312183,0.51%,12.69
India,234,26874,0.87%,9.42
Pakistan,143,11493,1.24%,11.27
United States,65,118759,0.05%,7.43
China,58,1610,3.6%,9.69
United Kingdom,49,7233,0.68%,14.67
Oman,38,4034,0.94%,7.9
Egypt,37,3430,1.08%,8.07
Iran,30,1142,2.63%,7.46
Saudi Arabia,29,3793,0.76%,10.52
France,28,3203,0.87%,9.04
Bangladesh,26,2367,1.1%,9.02
Hong Kong,23,999,2.3%,8.19
Algeria,22,966,2.28%,8.51
Singapore,19,1463,1.3%,10.2
Russia,19,755,2.52%,11.57
Japan,18,1162,1.55%,9.85
Philippines,17,2152,0.79%,10.93
Germany,16,2572,0.62%,10.35
Italy,15,2237,0.67%,10.22
Turkey,15,1791,0.84%,10.66
Qatar,13,2292,0.57%,9.1
Bahrain,13,988,1.32%,9.8
Kuwait,12,785,1.53%,9.61
Ethiopia,12,280,4.29%,7.6
Canada,11,3112,0.35%,14.12
Poland,11,906,1.21%,9.08
Nigeria,10,718,1.39%,12.85
Indonesia,9,1392,0.65%,15.21
Spain,9,1297,0.69%,12.66
Taiwan,9,408,2.21%,8.64
South Korea,8,975,0.82%,9.2
Turkmenistan,8,162,4.94%,9.78
Kenya,7,1038,0.67%,8.73
Netherlands,6,1917,0.31%,10.99
Sri Lanka,6,966,0.62%,7.12
Morocco,6,724,0.83%,9.03
Lebanon,6,609,0.99%,8.16
Sweden,6,362,1.66%,7.49
Uzbekistan,6,231,2.6%,9.49
Kazakhstan,6,228,2.63%,8.9
Australia,5,1619,0.31%,20.11
Iraq,5,685,0.73%,10.4
Israel,5,466,1.07%,8.61
Uganda,5,372,1.34%,8.63
Syria,5,349,1.43%,7.59
Mauritius,5,277,1.81%,7.65
Seychelles,5,121,4.13%,6.64
Mexico,4,1304,0.31%,9.3
Malaysia,4,1090,0.37%,10.34
Nepal,4,546,0.73%,8.36
Belgium,4,516,0.78%,14.47
Portugal,4,417,0.96%,10.11
New Zealand,4,367,1.09%,16.06
Bulgaria,4,359,1.11%,8.79
Ghana,4,349,1.15%,8.23
Greece,4,338,1.18%,9.57
Czechia,4,264,1.52%,9.04
Yemen,4,178,2.25%,7.65
Slovakia,4,146,2.74%,9.53
Zambia,4,122,3.28%,7.75
Zimbabwe,4,117,3.42%,9.03
Switzerland,3,665,0.45%,9.42
Ireland,3,574,0.52%,14.05
Ukraine,3,437,0.69%,9.58
Azerbaijan,3,345,0.87%,7.92
Georgia,3,328,0.91%,8.04
Venezuela,3,259,1.16%,13.22
Denmark,3,210,1.43%,13.24
Armenia,3,202,1.49%,9.31
Libya,3,137,2.19%,6.78
Croatia,3,137,2.19%,7.6
Maldives,3,80,3.75%,7.59
Congo - Kinshasa,3,76,3.95%,6.96
Slovenia,3,72,4.17%,7.62
Brazil,2,2324,0.09%,15.84
South Africa,2,1042,0.19%,11.57
Jordan,2,962,0.21%,8.51
Austria,2,268,0.75%,9.2
Tanzania,2,207,0.97%,8.04
Trinidad & Tobago,2,178,1.12%,10.47
Lithuania,2,172,1.16%,9.07
Cameroon,2,148,1.35%,7.64
Albania,2,147,1.36%,8.04
Afghanistan,2,146,1.37%,9.67
Cyprus,2,134,1.49%,9.21
Finland,2,115,1.74%,7.83
Guyana,2,109,1.83%,6.8
Sudan,2,90,2.22%,8.42
Kyrgyzstan,2,89,2.25%,6.93
Macedonia,2,55,3.64%,10.04
Honduras,2,45,4.44%,7.11
South Sudan,2,19,10.53%,7.05
Burundi,2,17,11.76%,7.18
Vietnam,1,1045,0.1%,13.11
Thailand,1,910,0.11%,11.95
Romania,1,472,0.21%,8.8
Colombia,1,385,0.26%,13.27
Tunisia,1,313,0.32%,8.94
Unknown Region,1,301,0.33%,7.23
Hungary,1,269,0.37%,9.03
Belarus,1,247,0.4%,21.26
Serbia,1,173,0.58%,8.39
Chile,1,162,0.62%,9.06
Angola,1,156,0.64%,9.26
Myanmar (Burma),1,115,0.87%,10.21
Côte d’Ivoire,1,98,1.02%,9.74
Panama,1,97,1.03%,11.33
Senegal,1,90,1.11%,9.22
Palestine,1,88,1.14%,8.05
Latvia,1,84,1.19%,10.95
Moldova,1,80,1.25%,9.01
Cambodia,1,78,1.28%,10.21
Brunei,1,59,1.69%,9.88
Madagascar,1,55,1.82%,7.09
Djibouti,1,52,1.92%,7.25
Guatemala,1,48,2.08%,10.98
Estonia,1,44,2.27%,9.77
Mongolia,1,36,2.78%,12.97
Congo - Brazzaville,1,33,3.03%,5.97
Malta,1,31,3.23%,13.52
Burkina Faso,1,30,3.33%,10.17
Liberia,1,18,5.56%,7.11
Laos,1,17,5.88%,6.47
Namibia,1,17,5.88%,8.06
Togo,1,17,5.88%,14.35
Grenada,1,15,6.67%,9.33
Andorra,1,12,8.33%,5.5
Argentina,0,417,0%,13.23
Ecuador,0,238,0%,13.55
Peru,0,226,0%,11.52
Norway,0,186,0%,11.66
Jamaica,0,118,0%,8.38
Dominican Republic,0,109,0%,8.96
Costa Rica,0,103,0%,8.59
Somalia,0,89,0%,7.57
Bosnia & Herzegovina,0,87,0%,8.01
Comoros,0,79,0%,7.87
Uruguay,0,69,0%,13.74
Rwanda,0,63,0%,6.73
Bolivia,0,62,0%,12.84
Mauritania,0,60,0%,8.25
Puerto Rico,0,59,0%,8.44
Paraguay,0,59,0%,14.73
Barbados,0,58,0%,6.05
Mozambique,0,49,0%,9.31
Kosovo,0,47,0%,8.19
Chad,0,41,0%,8.56
Gabon,0,39,0%,8.21
Malawi,0,38,0%,6.71
Luxembourg,0,34,0%,8.24
Mali,0,34,0%,8.26
Equatorial Guinea,0,26,0%,6.27
Botswana,0,26,0%,11.46
Papua New Guinea,0,25,0%,6.24
Tajikistan,0,25,0%,7
Montenegro,0,25,0%,8.2
Lesotho,0,25,0%,10.88
El Salvador,0,24,0%,10
Bahamas,0,24,0%,10.17
Suriname,0,22,0%,6.59
St. Lucia,0,19,0%,7.68
Iceland,0,17,0%,10.94
Nicaragua,0,17,0%,11.47
Fiji,0,16,0%,9.12
Swaziland,0,15,0%,7
Réunion,0,14,0%,6.07
Sierra Leone,0,13,0%,5.23
Belize,0,13,0%,5.85
Guinea,0,12,0%,7.08
Benin,0,12,0%,7.83
Isle of Man,0,11,0%,8.18
St. Kitts & Nevis,0,11,0%,8.36
Antigua & Barbuda,0,10,0%,6
Guernsey,0,10,0%,9.1
Haiti,0,9,0%,7.11
Eritrea,0,8,0%,5.5
Cuba,0,8,0%,5.88
Gambia,0,7,0%,5.14
Niger,0,7,0%,7.86
Northern Mariana Islands,0,7,0%,11.43
Monaco,0,6,0%,6.17
Jersey,0,5,0%,4.6
Guinea-Bissau,0,5,0%,6.6
Guam,0,5,0%,7.4
Cape Verde,0,5,0%,7.6
French Polynesia,0,5,0%,26.4
Cayman Islands,0,4,0%,6
Turks & Caicos Islands,0,4,0%,6.75
St. Vincent & Grenadines,0,4,0%,8
Martinique,0,4,0%,8.75
Aruba,0,4,0%,9.75
American Samoa,0,3,0%,3.67
Dominica,0,3,0%,4.67
Faroe Islands,0,3,0%,5.67
Gibraltar,0,3,0%,6.67
Marshall Islands,0,3,0%,7.33
Central African Republic,0,3,0%,9.33
Western Sahara,0,3,0%,10.67
