Keyword,Intent,Volume,Trend,Keyword Difficulty,CPC (USD),SERP Features
car tint near me,Commercial,2900,"1.00,0.82,0.66,0.66,0.55,0.55,0.55,0.43,0.55,0.82,0.55,0.66",12,2.10,"Video, People also ask, Local pack, Related searches"
car tint,Commercial,2400,"1.00,0.81,0.67,0.67,0.67,0.53,0.44,0.36,0.53,0.53,0.44,0.53",14,2.12,"Sitelinks, Image, Image pack, Video, People also ask, Local pack, Related searches"
car tinting dubai,Commercial,1600,"1.00,0.66,0.55,0.55,0.83,0.45,0.34,0.30,0.45,0.45,0.45,0.45",19,2.99,"Image, Video, People also ask, Local pack, Related searches"
car window tinting,Commercial,1300,"1.00,0.84,0.68,0.68,0.68,0.53,0.46,0.46,0.68,0.53,0.53,0.53",12,2.16,"Sitelinks, Image, Video, People also ask, Local pack, Related searches"
car tinting abu dhabi,Commercial,590,"0.82,0.67,0.67,0.82,1.00,0.44,0.36,0.30,0.44,0.44,0.44,0.55",10,1.63,"Image, Video, People also ask, Local pack, Related searches"
car window tinting abu dhabi,Commercial,590,"0.82,0.67,0.67,0.82,1.00,0.44,0.36,0.30,0.44,0.44,0.44,0.55",10,1.63,"Image, Video, People also ask, Local pack, Related searches"
car window tinting near me,Commercial,590,"1.00,0.82,0.82,0.82,1.00,0.67,0.54,0.54,0.82,0.82,0.54,0.67",16,2.09,"Image, Video, People also ask, Local pack, Related searches"
3m car tint,Commercial,480,"1.00,0.82,1.00,0.55,0.55,0.36,0.24,0.30,0.30,0.30,0.19,0.16",23,2.31,"Sitelinks, Image, Video, Local pack, Related searches"
car window tinting dubai,Commercial,480,"0.44,0.44,0.44,0.44,0.44,0.44,0.54,0.54,0.67,1.00,1.00,1.00",19,2.20,"Image, Video, People also ask, Local pack, Related searches"
car tinting sharjah,Commercial,390,"1.00,0.66,0.66,0.54,0.29,0.24,0.29,0.19,0.24,0.24,0.29,0.29",10,1.72,"Image, Video, People also ask, Local pack, Related searches"
3m car tinting dubai,Commercial,260,"1.00,0.54,0.54,0.54,0.82,0.67,0.36,0.28,0.44,0.44,0.23,0.23",17,3.94,"Sitelinks, Image, People also ask, Local pack, Related searches"
car glass tint,Informational,260,"1.00,0.81,0.81,0.81,1.00,0.66,0.66,0.44,0.66,0.53,0.53,0.66",12,1.60,"AI Overview, Image, Image pack, Video, People also ask, Local pack, Related searches"
