Keyword,Intent,Volume,Trend,Keyword Difficulty,CPC (USD),SERP Features
ppf,Informational,2900,"0.81,0.67,0.81,1.00,1.00,0.81,0.67,0.81,1.00,0.81,0.67,0.81",13,3.29,"Sitelinks, AI Overview, Video, Video carousel, Short videos, People also ask, Related searches"
ppf calculator,Informational,1300,"0.77,0.77,1.00,1.00,1.00,0.77,0.77,1.00,1.00,0.77,0.77,1.00",32,1.28,"Video, People also ask, Related searches"
ppf coating,Informational,590,"1.00,0.82,1.00,0.82,1.00,0.82,0.82,0.82,1.00,1.00,0.67,0.67",9,3.13,"AI Overview, Video, Video carousel, Short videos, People also ask, Related searches"
ppf dubai,Commercial,590,"0.72,0.48,0.48,0.48,1.00,0.48,0.48,0.48,0.59,0.48,0.48,0.39",33,5.95,"Sitelinks, Image, Local pack, Related searches"
ppf car,Informational,480,"0.16,0.16,0.16,0.20,0.20,0.24,0.24,0.37,0.30,0.37,0.45,1.00",36,3.80,"Sitelinks, AI Overview, Video, Video carousel, Related searches"
xpel ppf,Navigational,480,"1.00,0.81,1.00,0.81,0.67,1.00,1.00,0.81,1.00,1.00,0.81,0.81",24,3.57,"Sitelinks, People also ask, Related searches, Ads bottom"
ppf interest rate,Informational,320,"0.67,0.81,0.81,0.67,0.67,0.54,0.54,0.67,0.81,0.54,0.67,1.00",44,1.82,"AI Overview, Video, People also ask, Related searches"
ppf in dubai,Commercial,210,"0.54,0.54,0.35,0.23,1.00,0.29,0.23,0.23,0.29,0.19,0.19,0.19",32,6.97,"Sitelinks, Video, People also ask, Local pack, Related searches"
ppf meaning,Informational,210,"0.65,0.81,0.81,0.81,0.81,1.00,0.81,0.81,1.00,1.00,0.81,0.81",9,3.46,"AI Overview, Image pack, Video, Short videos, People also ask, Related searches"
ppf للسيارات,Informational,210,"0.54,0.36,0.54,0.44,1.00,0.44,0.44,0.36,0.44,0.44,0.44,0.54",15,1.97,"Sitelinks, AI Overview, Video, Video carousel, People also ask, Related searches"
