Keyword,Intent,Volume,Trend,Keyword Difficulty,CPC (USD),SERP Features
ceramic coating,Commercial,1600,"1.00,0.81,1.00,1.00,1.00,0.81,0.81,0.81,0.81,1.00,0.81,0.81",9,2.42,"Sitelinks, AI Overview, Image, Video, Video carousel, Short videos, People also ask, Local pack, Related searches"
ceramic coating car,Informational,880,"1.00,0.88,0.88,0.88,1.00,0.72,0.72,0.59,0.59,0.72,0.72,0.59",11,2.24,"Sitelinks, AI Overview, Video, Video carousel, Short videos, People also ask, Local pack, Related searches"
ceramic coating dubai,Commercial,390,"1.00,0.67,0.67,0.67,1.00,0.54,0.54,0.67,0.54,0.35,0.44,0.54",13,3.72,"Sitelinks, Image, Video, Video carousel, People also ask, Local pack, Related searches"
nano ceramic coating,Informational,260,"0.67,0.82,0.82,0.67,0.54,0.44,0.54,1.00,0.54,0.54,0.44,0.54",12,2.15,"Sitelinks, AI Overview, Video, Video carousel, People also ask, Local pack, Related searches"
ceramic coating near me,Commercial,210,"0.81,0.81,0.65,0.65,0.81,0.54,0.35,0.42,0.81,1.00,1.00,0.65",9,2.68,"Sitelinks, Image, Video, Local pack, Related searches"
best ceramic coating in dubai,Commercial,170,"0.11,0.22,0.56,0.22,0.11,0.11,0.33,0.11,1.00,0.22,0.11,0.44",10,2.90,"Sitelinks, Video, People also ask, Local pack, Related searches"
ceramic coated cookware,Informational,140,"1.00,0.82,0.82,1.00,1.00,0.65,0.65,0.82,1.00,0.82,0.82,0.65",19,0.36,"Sitelinks, AI Overview, Image pack, Video, Video carousel, People also ask, Related searches"
ceramic coated pans,Informational,140,"1.00,0.82,0.82,1.00,1.00,0.65,0.65,0.82,1.00,0.82,0.82,0.65",26,0.36,"Sitelinks, AI Overview, Video, Video carousel, People also ask, Related searches"
ceramic coating abu dhabi,Commercial,140,"0.82,1.00,1.00,0.82,0.53,0.65,0.53,0.53,0.65,0.65,0.53,0.53",5,1.81,"Sitelinks, Image, Video, Local pack, Related searches"
ceramic coating pots,Informational,140,"1.00,0.82,0.82,1.00,1.00,0.65,0.65,0.82,1.00,0.82,0.82,0.65",26,0.36,"Sitelinks, AI Overview, Video, Video carousel, People also ask"
car ceramic coating near me,Transactional,110,"1.00,0.09,0.06,0.03,0.03,0.03,0.03,0.16,0.03,0.03,0.03,0.34",6,2.33,"Video, People also ask, Local pack, Related searches"
ceramic coating price in uae,Informational,110,"0.07,1.00,0.36,0.07,0.07,0.07,0.07,0.14,0.07,0.07,0.07,0.07",9,2.17,"Sitelinks, AI Overview, Video, People also ask, Related searches"
