Keyword,Intent,Volume,Trend,Keyword Difficulty,CPC (USD),SERP Features
details,Informational,6600,"0.81,0.67,0.67,0.81,0.81,0.81,0.81,0.81,1.00,0.81,0.81,0.81",53,1.74,"AI Overview, Image pack, Video, Video carousel, People also ask, Related searches"
sim owner details,Informational,3600,"0.54,0.54,0.67,0.81,0.81,1.00,0.81,0.81,0.67,0.35,0.81,0.67",27,0.29,"AI Overview, Video, People also ask, Related searches"
detailed assessment,Navigational,2900,"0.67,0.81,0.01,0.20,0.67,0.44,0.81,0.01,1.00,0.03,0.00,0.02",21,0.00,"Sitelinks, Video, People also ask, Related searches"
car detailing,Informational,2400,"1.00,0.84,0.84,0.68,1.00,0.68,0.84,0.84,0.68,0.68,0.68,0.68",23,1.43,"AI Overview, Image, Video, Short videos, People also ask, Local pack, Related searches"
car detailing dubai,Commercial,1900,"0.79,0.67,0.67,0.79,1.00,0.79,0.67,0.67,0.54,0.42,0.54,0.54",36,2.18,"Sitelinks, Image, Local pack, Related searches"
best car detailing dubai,Commercial,1300,"0.83,1.00,0.45,0.30,0.20,0.20,1.00,0.20,0.20,0.06,0.13,0.20",34,2.16,"Sitelinks, Video, People also ask, Local pack, Related searches"
car detailing near me,Commercial,1300,"0.77,0.77,1.00,0.77,1.00,0.77,0.77,1.00,0.77,0.77,1.00,1.00",22,1.57,"Video, People also ask, Local pack, Related searches"
antonoaldo neves compensation details,,1000,"0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00",,0.00,
car interior detailing dubai,Commercial,1000,"0.02,0.02,0.12,0.02,0.04,0.04,1.00,0.23,0.02,0.04,0.02,0.02",40,2.55,"Sitelinks, Image, Video, People also ask, Local pack, Related searches"
define detail,Informational,880,"0.72,0.72,0.88,0.88,0.88,0.88,0.88,0.72,0.72,0.88,0.88,1.00",50,0.00,"AI Overview, Video, Video carousel, Short videos, People also ask, Related searches"
parivahan vehicle details,"Navigational, Transactional",720,"0.82,1.00,1.00,0.82,0.82,0.82,0.55,0.82,0.82,0.67,0.55,0.67",59,0.00,"People also ask, Related searches"
details meaning,Informational,590,"0.82,0.82,0.82,0.82,0.82,0.82,0.82,0.82,1.00,0.67,0.67,0.82",29,0.00,"AI Overview, Video, Short videos, People also ask, Related searches"
flight details,Informational,590,"0.37,0.45,0.37,0.30,0.30,0.24,0.24,0.37,0.30,0.30,1.00,0.37",66,0.16,"Video, Flights, Related searches"
car detailing sharjah,Commercial,480,"1.00,0.54,0.67,0.67,0.44,0.44,0.44,0.44,0.44,0.44,0.67,0.54",14,0.94,"Sitelinks, Image, Video, People also ask, Local pack, Related searches"
interior car detailing,Transactional,480,"0.44,0.36,0.36,0.30,1.00,0.30,0.24,0.24,0.30,0.19,0.24,0.24",17,1.83,"Sitelinks, Image, Video, Video carousel, People also ask, Local pack, Related searches"
oman air flight details,Informational,480,"0.06,0.19,0.13,0.07,0.04,0.07,0.11,0.13,0.07,0.11,1.00,0.19",38,0.01,"Video, People also ask, Flights, Related searches"
vehicle owner details by number plate in dubai,Informational,480,"0.82,1.00,0.82,0.67,0.67,0.67,0.44,0.54,0.54,0.36,0.44,0.36",8,1.20,"Sitelinks, AI Overview, Video, People also ask, Related searches"
auto detailing,Commercial,390,"0.36,0.24,0.24,0.29,1.00,0.36,0.44,0.44,0.54,0.44,0.54,0.54",36,1.57,"Sitelinks, Image, Video, Local pack, Related searches"
car detailing abu dhabi,Commercial,390,"0.54,0.44,0.54,0.67,1.00,0.54,0.44,0.44,0.44,0.44,0.54,0.67",17,1.26,"Sitelinks, Image, Video, People also ask, Local pack"
lic policy details,Navigational,390,"0.54,0.36,0.54,0.54,0.66,0.66,0.66,0.81,1.00,1.00,0.81,0.66",47,1.16,"Sitelinks, Video, People also ask, Related searches"
prestige detailing uae,Informational,390,"0.81,0.54,0.66,0.81,0.66,0.66,0.54,0.81,0.66,1.00,0.54,0.66",17,1.85,"People also ask, Knowledge panel, Related searches"
topaz detailing,Commercial,390,"0.67,0.67,0.81,0.67,0.81,0.81,0.67,0.67,0.81,0.67,0.81,1.00",27,2.09,"Image, Video, People also ask, Local pack, Related searches"
check vehicle details,Informational,320,"0.67,0.82,0.82,0.82,0.67,0.82,0.67,0.82,1.00,0.67,0.67,0.82",35,0.37,"AI Overview, Video, People also ask, Related searches"
credit card details,Informational,320,"1.00,0.66,1.00,0.66,0.53,0.28,0.28,0.28,0.22,0.28,0.34,0.34",60,0.68,"AI Overview, Video, People also ask, Knowledge panel"
kerala vehicle registration details,Informational,320,"1.00,0.82,1.00,1.00,0.82,0.82,0.82,0.82,0.54,0.44,0.36,0.44",21,0.00,"AI Overview, Video, Video carousel, Related searches"
mobile number detail with name and address,Informational,320,"0.54,0.54,0.67,0.67,0.81,0.81,0.81,1.00,0.54,0.54,0.67,0.67",30,0.22,"Video, People also ask, Related searches"
personal details,Informational,320,"0.82,0.82,0.82,0.82,0.82,0.82,0.82,1.00,0.82,0.82,0.82,0.82",25,0.00,"AI Overview, Video, People also ask, Related searches"
rto vehicle details,Informational,320,"0.67,0.67,1.00,0.81,1.00,0.67,0.67,0.54,0.67,0.67,0.67,0.67",32,0.21,"AI Overview, Video, Related searches"
sim details,Informational,320,"0.82,1.00,1.00,0.82,0.82,1.00,0.82,0.82,1.00,0.67,0.82,0.82",25,0.00,"Video, Related searches"
vehicle details,Informational,320,"0.82,0.82,1.00,1.00,1.00,1.00,1.00,0.82,0.82,0.82,0.82,1.00",33,1.36,"Video, Related searches"
vehicle owner details,Informational,320,"0.67,0.67,1.00,0.82,0.82,0.82,0.82,0.82,1.00,1.00,0.82,0.82",28,0.81,"AI Overview, Video, Related searches"
vehicle rc details,Informational,320,"1.00,1.00,1.00,0.81,1.00,0.81,0.66,0.81,0.81,0.81,0.66,0.66",29,0.00,"Image pack, Video, People also ask, Related searches"
apple's iphone 18 pro leaks detail major design changes,Informational,260,"0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00",22,0.00,"AI Overview, Video, Video carousel, Short videos, Related searches"
bank details,Informational,260,"0.81,0.65,1.00,0.81,1.00,1.00,1.00,1.00,1.00,1.00,0.81,0.81",34,0.00,"AI Overview, Image pack, Video, People also ask, Related searches"
detail plus,Commercial,260,"0.44,0.44,1.00,1.00,0.67,0.67,0.81,0.23,0.15,0.19,0.10,0.15",22,0.00,"Sitelinks, Image, Video, Video carousel, Local pack"
detailing near me,Commercial,260,"1.00,0.53,0.81,1.00,1.00,1.00,1.00,1.00,1.00,0.81,0.81,0.81",15,2.06,"Image, People also ask, Local pack, Related searches"
galaxy s26 ultra leak details,Informational,260,"0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.11,1.00,0.00,0.00",36,0.49,"Sitelinks, AI Overview, Video, Video carousel, Short videos, People also ask, Related searches"
parivahan vehicle owner details,"Informational, Transactional",260,"1.00,1.00,1.00,0.66,0.66,1.00,0.66,0.66,0.66,0.53,0.53,0.53",47,0.00,"People also ask, Related searches"
vehicle owner details by number plate,Informational,260,"1.00,1.00,0.82,0.67,0.82,0.67,0.54,0.54,0.54,0.44,0.44,0.36",27,0.00,"AI Overview, Video"
adcb credit card details,Navigational,210,"0.19,0.19,0.19,0.44,0.19,0.19,0.44,1.00,0.19,0.19,0.19,0.15",43,1.91,"Sitelinks, Video, People also ask, Related searches, Ads bottom"
car detailing al quoz,Commercial,210,"0.54,0.36,1.00,0.44,1.00,0.36,0.44,0.36,0.23,0.18,0.28,0.44",11,2.54,"Image, Video, Local pack, Related searches"
detail orientation meaning,Informational,210,"0.81,0.81,0.65,0.81,0.65,1.00,1.00,0.81,0.81,1.00,0.81,1.00",23,0.00,"Sitelinks, AI Overview, Video, Related searches"
list of hotels in dubai with contact details,"Informational, Transactional",210,"0.71,0.14,1.00,0.29,0.14,0.14,0.14,0.14,0.71,0.14,0.14,0.14",32,0.58,"Sitelinks, Image, Video, Hotels pack, Related searches"
materia italian details,Navigational,210,"0.44,0.36,0.36,0.29,0.44,0.19,0.24,0.19,0.19,0.12,0.24,1.00",19,0.00,"Sitelinks, Video, Knowledge panel"
mobile number details,Informational,210,"0.65,0.81,1.00,1.00,1.00,1.00,0.81,0.81,1.00,0.65,0.81,0.81",36,0.36,"AI Overview, Video, Related searches"
namaz rakat details,Informational,210,"0.24,0.19,0.15,0.19,0.36,0.24,0.07,0.24,0.29,1.00,0.44,0.24",19,0.00,"Image, Image pack, Video, Video carousel, People also ask, Related searches"
phone number details,Informational,210,"0.81,0.65,0.81,0.81,0.81,0.65,0.81,1.00,1.00,0.65,0.65,0.81",32,0.30,"Video, People also ask, Related searches"
sim card owner details online,Informational,210,"0.65,0.81,0.81,1.00,0.81,1.00,0.65,0.81,0.65,0.65,0.65,0.65",29,0.00,"AI Overview, Video, People also ask, Related searches"
sim owner details online,Informational,210,"0.65,0.81,0.81,1.00,0.81,1.00,0.65,0.81,0.65,0.65,0.65,0.65",33,0.00,"AI Overview, Video, Related searches"
uae lottery details,Navigational,210,"0.05,1.00,0.12,0.08,0.19,0.30,0.44,0.30,0.19,0.16,0.24,0.24",32,0.00,"Sitelinks, Video, People also ask, Related searches"
vehicle ownership details in kerala,Informational,210,"0.81,0.65,1.00,1.00,0.81,1.00,0.81,0.81,0.81,1.00,0.65,0.81",15,0.02,"Video, Video carousel, Related searches"
all details,Navigational,170,"0.35,0.35,0.65,1.00,0.81,0.65,0.54,0.54,0.81,0.54,0.54,0.35",32,1.96,"Sitelinks, Image pack, Video, Knowledge panel, Related searches"
attention to detail,Informational,170,"1.00,0.81,1.00,1.00,0.81,0.81,0.81,0.81,0.81,0.67,0.67,0.67",31,0.00,"Sitelinks, AI Overview, Image pack, Video, People also ask, Related searches"
auto detailing near me,Commercial,170,"0.44,0.44,0.34,0.28,1.00,0.34,0.44,0.34,0.81,0.81,0.44,0.44",13,1.39,"Sitelinks, Image, Video, People also ask, Local pack, Related searches"
bank account details,Informational,170,"0.81,0.52,1.00,0.81,0.52,0.43,0.33,0.43,0.43,0.52,0.52,0.52",27,1.13,"Sitelinks, AI Overview, Image pack, Video, Related searches"
car wash and detail,Commercial,170,"0.65,0.65,0.65,0.65,1.00,0.65,0.42,0.42,0.65,0.54,0.42,0.54",12,1.26,"Image, Video, Video carousel, People also ask, Local pack, Related searches"
contact details,Informational,170,"0.81,0.67,1.00,0.67,0.81,0.81,0.67,0.81,0.81,0.81,0.81,0.81",29,0.58,"Image pack, Video, People also ask, Related searches"
detail car cleaning,Commercial,170,"0.25,0.75,0.25,0.50,1.00,0.25,0.25,1.00,0.25,0.25,0.25,1.00",25,1.52,"Sitelinks, Image, Video, Video carousel, People also ask, Local pack, Related searches"
detail car wash,Commercial,170,"0.65,0.65,0.65,0.65,1.00,0.65,0.42,0.42,0.65,0.54,0.42,0.54",25,1.26,"Sitelinks, Image, Video, People also ask, Local pack, Related searches"
detail oriented,Informational,170,"0.81,0.67,1.00,0.81,1.00,1.00,0.81,0.67,1.00,0.67,0.67,0.67",37,0.00,"Sitelinks, AI Overview, Image pack, Video, Video carousel, People also ask, Related searches"
dubai details,Informational,170,"0.81,0.67,0.52,0.81,1.00,0.67,0.81,0.67,0.81,0.67,0.81,0.81",47,2.25,"Sitelinks, AI Overview, Image, Video, People also ask, Related searches"
ek 514 flight details,Informational,170,"0.06,0.09,0.04,0.02,0.03,0.05,0.05,0.09,0.06,0.09,1.00,0.20",24,0.00,"Image, Video, People also ask, Flights, Related searches"
etihad fleet details,Informational,170,"1.00,0.81,0.81,0.19,0.54,0.54,0.65,0.54,0.65,0.81,0.54,0.35",36,0.00,"AI Overview, Image, Video carousel, People also ask, Related searches"
interior car detailing near me,Commercial,170,"0.44,0.44,0.34,0.28,1.00,0.34,0.44,0.34,0.81,0.81,0.44,0.28",22,1.39,"Sitelinks, Video, People also ask, Local pack, Related searches"
kerala vehicle details,Informational,170,"0.34,0.34,0.44,0.66,0.44,0.53,0.44,0.44,0.66,0.81,0.81,1.00",22,0.02,"Image pack, Video, Video carousel, People also ask, Related searches"
kolkata doctor case full story in detail,Informational,170,"0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00",36,0.01,"AI Overview, Video carousel"
number details,Informational,170,"0.67,0.67,0.67,0.81,0.67,1.00,0.81,0.81,0.81,0.52,0.67,0.67",30,0.19,"AI Overview, Video, Video carousel, People also ask, Related searches, Ads bottom"
rta vehicle owner details,Informational,170,"0.12,0.16,0.28,0.44,0.44,0.53,0.66,0.66,0.81,0.66,1.00,0.81",12,0.00,"Sitelinks, AI Overview, Video, People also ask, Related searches"
spicejet flight details,"Navigational, Transactional",170,"0.09,0.14,0.09,0.05,0.05,0.09,0.09,0.14,0.14,0.21,1.00,0.21",37,0.00,"Sitelinks, People also ask, Related searches"
tneb bill details,Informational,170,"0.54,0.65,0.65,0.65,1.00,0.65,0.54,0.54,0.65,0.54,0.65,0.42",36,0.00,"Video, People also ask, Related searches"
tneb bill reading details,Informational,170,"0.54,0.65,0.65,0.65,1.00,0.65,0.54,0.54,0.65,0.54,0.65,0.42",26,0.00,"Video, Video carousel, People also ask, Related searches"
vahan vehicle details,Informational,170,"0.52,0.67,0.81,0.81,0.81,1.00,1.00,1.00,1.00,1.00,0.67,0.52",43,0.00,"Image pack, Video, People also ask, Related searches"
