Keyword,Position,Previous position,Search Volume,Keyword Difficulty,CPC,URL,Traffic,Traffic (%),Traffic Cost,Competition,Number of Results,Trends,Timestamp,SERP Features by Keyword,Keyword Intents,Position Type
enoc petrol station jvc,3,3,4400,18,0.00,https://easyauto.ae/business/enoc-1077-jvc/,308,9.8,0.00,0,104,"0, 0, 0, 0, 0, 0, 67, 82, 100, 100, 100, 100",2026-06-26,"Knowledge panel, Sitelinks, Reviews, Video, People also ask, Related searches, AI overview",informational,Organic
adnoc near me,18,18,201000,37,0.76,https://easyauto.ae/business/adnoc-service-station-khalifa-city-766/,301,9.57,228.00,0.01,107,"55, 67, 82, 82, 100, 100, 100, 100, 82, 67, 82, 82",2026-06-22,"Local pack, Sitelinks, Reviews, Related searches","navigational, transactional",Organic
adnoc near me,21,21,201000,37,0.76,https://easyauto.ae/business/adnoc-service-station-khalifa-city-766/,301,9.57,228.00,0.01,107,"55, 67, 82, 82, 100, 100, 100, 100, 82, 67, 82, 82",2026-06-22,"Local pack, Sitelinks, Reviews, Related searches","navigational, transactional",Organic
pro wash,5,5,9900,19,1.31,https://easyauto.ae/business/prowash-1050/,128,4.07,167.00,0.11,121,"36, 45, 45, 55, 67, 82, 100, 100, 82, 67, 67, 30",2026-06-23,"Local pack, Image pack, Reviews, Video, Video Carousel, Related searches",transactional,Organic
baghdad auto spare parts trading establishment,6,6,1900,12,0.00,https://easyauto.ae/business/baghdad-auto-spare-parts-trading-establishment/,95,3.02,0.00,0.03,33500,"53, 53, 53, 53, 100, 67, 67, 53, 53, 67, 44, 44",2026-05-12,"Knowledge panel, Video, Image, People also ask, Related searches",informational,Organic
well done car wash,1,1,720,24,0.00,https://easyauto.ae/business/welldone-car-wash-3/,94,2.99,0.00,0.04,175000000,"59, 59, 59, 59, 59, 59, 88, 88, 72, 88, 100, 72",2026-06-21,"Knowledge panel, Sitelinks, Reviews, Video, Video Carousel, AI overview",informational,AI overview
skyline auto repair workshop llc,5,5,1600,14,1.19,https://easyauto.ae/business/skyline-auto-repair-workshop-llc/,80,2.54,95.00,0.03,101000,"79, 100, 79, 79, 67, 67, 67, 54, 79, 67, 54, 67",2026-05-14,"Knowledge panel, Video, Image",informational,Organic
bab al satwa car accessories,5,5,1300,16,0.42,https://easyauto.ae/business/bab-alsatwa-car-accessories/,65,2.06,27.00,0.12,82,"30, 37, 30, 30, 30, 54, 67, 100, 79, 42, 67, 79",2026-05-15,"Knowledge panel, Related searches",informational,Organic
havoline car wash,1,1,480,15,0.00,https://easyauto.ae/business/car-wash-havoline-caltex-sharjah/,62,1.97,0.00,0.09,135,"66, 66, 81, 66, 81, 81, 81, 81, 81, 66, 100, 81",2026-06-22,"Local pack, Reviews, Video, Video Carousel, People also ask",commercial,Organic
bubbles foams car washing station,4,4,880,19,0.00,https://easyauto.ae/business/bubbles-foams-car-washing-station/,61,1.94,0.00,0.03,3210000,"72, 88, 88, 100, 88, 88, 72, 88, 88, 88, 72, 72",2026-05-11,"Knowledge panel, Video, People also ask",informational,Organic
oasis car wash,6,6,1900,20,0.20,https://easyauto.ae/business/oasis-carwash/,57,1.81,11.00,0.03,11500000,"55, 66, 55, 66, 66, 66, 55, 83, 100, 100, 66, 83",2026-05-13,"Local pack, Video, Image, People also ask, Related searches",commercial,Organic
rccr motors auto repair,2,2,390,27,0.00,https://easyauto.ae/business/rccr-motors-auto-repair/,50,1.59,0.00,0.05,53,"81, 81, 67, 54, 81, 100, 100, 67, 81, 100, 81, 81",2026-05-18,"Knowledge panel, Video, Video Carousel",informational,Organic
one piece car wash and polishing,4,4,720,17,0.00,https://easyauto.ae/business/one-piece-car-wash-and-polishing/,50,1.59,0.00,0.03,23200000,"82, 82, 82, 82, 82, 82, 82, 82, 100, 82, 82, 82",2026-05-21,"Knowledge panel, Sitelinks, Video, People also ask",informational,Organic
pro wash near me,8,8,9900,19,0.34,https://easyauto.ae/business/prowash-7825/,49,1.55,16.00,0.21,57,"45, 55, 55, 67, 67, 82, 100, 100, 82, 67, 82, 55",2026-06-25,"Local pack, Reviews, Video, People also ask, Related searches",commercial,Organic
prowash,7,7,9900,19,1.31,https://easyauto.ae/business/prowash-1050/,49,1.55,64.00,0.11,122,"36, 45, 45, 55, 67, 82, 100, 100, 82, 67, 67, 30",2026-06-23,"Local pack, Reviews, Video, Video Carousel, People also ask, Related searches",informational,Organic
albacars,9,9,1900,41,0.81,https://easyauto.ae/business/alba-cars-marina-mall-abu-dhabi/,47,1.49,38.00,0.55,134,"20, 100, 36, 9, 36, 24, 36, 20, 44, 20, 11, 9",2026-05-31,"Knowledge panel, Video, People also ask, Related searches",informational,Organic
al futtaim automall dubai festival city,10,10,9900,20,0.27,https://easyauto.ae/business/al-futtaim-automall-dubai-festival-city/,44,1.4,11.00,0.05,105,"82, 82, 82, 82, 100, 82, 82, 100, 82, 67, 67, 82",2026-06-24,"Knowledge panel, Reviews, Video, AI overview",transactional,Organic
al barakah car wash,7,7,1600,19,0.00,https://easyauto.ae/business/al-barakah-car-wash/,40,1.27,0.00,0.05,73,"54, 67, 67, 67, 67, 67, 79, 79, 100, 79, 67, 67",2026-05-15,"Knowledge panel, Video, Image, People also ask, Related searches",informational,Organic
free look auto repairing,5,5,720,17,0.46,https://easyauto.ae/business/free-look-auto-repairing/,36,1.14,16.00,0.07,1010000000,"67, 82, 67, 100, 100, 100, 82, 67, 82, 100, 67, 67",2026-05-15,"Knowledge panel, Video, People also ask","informational, transactional",Organic
adnoc petrol station,21,21,22200,26,1.09,https://easyauto.ae/business/adnoc-service-station-khalifa-city-766/,33,1.05,35.00,0.01,108,"67, 67, 67, 82, 82, 100, 100, 100, 82, 67, 55, 67",2026-06-26,"Knowledge panel, Local pack, Reviews, People also ask, Related searches",transactional,Organic
very easy car,4,4,590,34,1.53,https://easyauto.ae/business/very-easy-car-sell-my-car-sell-any-car/,29,0.92,44.00,0.1,9,"37, 45, 37, 37, 25, 45, 55, 100, 77, 55, 45, 25",2026-06-04,"Knowledge panel, Image pack, People also ask",navigational,Organic
samira auto spare parts ajman,5,5,590,15,0.00,https://easyauto.ae/business/samira-auto-spare-parts-ajman/,29,0.92,0.00,0.02,58,"81, 100, 81, 100, 100, 100, 81, 100, 100, 100, 100, 81",2026-05-18,"Knowledge panel, Related searches",informational,Organic
al ghazal car washing station,5,5,480,19,0.00,https://easyauto.ae/business/al-ghazal-car-washing-station/,24,0.76,0.00,0.05,280000,"19, 30, 36, 36, 55, 82, 82, 67, 67, 55, 67, 100",2026-06-19,"Knowledge panel, Reviews, Video, People also ask",informational,Organic
grand service station al warqa reviews,6,6,590,17,0.81,https://easyauto.ae/business/grand-service-station-al-warqa/,23,0.73,18.00,0.06,107,"6, 7, 21, 14, 25, 31, 11, 14, 31, 46, 84, 100",2026-06-24,"Knowledge panel, Reviews, Video, Related searches, AI overview",informational,Organic
sellanycar com dubai umm suqeim street,7,7,2900,22,0.00,https://easyauto.ae/business/sellanycar-com-dubai-umm-suqeim-street/,23,0.73,0.00,0.07,104,"100, 81, 81, 81, 81, 81, 67, 53, 67, 67, 67, 67",2026-06-11,"Knowledge panel, People also ask, Related searches","informational, transactional",Organic
insurance market,30,30,33100,38,2.70,https://easyauto.ae/business/insurancemarket-ae/,23,0.73,62.00,0.49,107,"82, 82, 82, 100, 100, 100, 82, 100, 82, 67, 67, 37",2026-06-22,"Knowledge panel, Reviews, Video, People also ask, Related searches",informational,Organic
enoc 1029,3,3,260,12,0.00,https://easyauto.ae/business/enoc-1029-discovery-gardens/,23,0.73,0.00,0.03,48800,"81, 81, 66, 66, 100, 81, 81, 81, 66, 81, 66, 53",2026-05-16,"Knowledge panel, Related searches",informational,Organic
adnoc petrol station near me,21,21,14800,22,1.03,https://easyauto.ae/business/adnoc-service-station-khalifa-city-766/,22,0.7,22.00,0.04,104,"82, 67, 82, 82, 82, 100, 100, 100, 82, 67, 55, 82",2026-06-26,"Local pack, Reviews, Related searches",transactional,Organic
adnoc service station,17,17,74000,28,0.00,https://easyauto.ae/business/adnoc-service-station-production-city-329/,22,0.7,0.00,0.02,101,"82, 82, 82, 82, 100, 100, 100, 100, 82, 82, 82, 100",2026-06-26,"Knowledge panel, Local pack, Sitelinks, Reviews, People also ask, Related searches",navigational,Organic
aksa trade auto spare parts & accessories,2,2,170,14,0.00,https://easyauto.ae/business/aksa-trade-auto-spare-parts-accessories/,22,0.7,0.00,0.02,10300,"35, 65, 54, 54, 65, 42, 100, 100, 81, 81, 81, 100",2026-06-24,"Knowledge panel, Reviews, Video","informational, transactional",Organic
well done car wash,4,4,720,24,0.00,https://easyauto.ae/business/welldone-car-wash-3/,21,0.66,0.00,0.04,175000000,"59, 59, 59, 59, 59, 59, 88, 88, 72, 88, 100, 72",2026-06-21,"Knowledge panel, Sitelinks, Reviews, Video, Video Carousel, AI overview",informational,Organic
car centre service sharjah,8,8,1600,16,0.00,https://easyauto.ae/business/car-centre-service-sharjah/,20,0.63,0.00,0.04,133,"100, 84, 84, 84, 84, 84, 100, 84, 100, 100, 84, 84",2026-05-14,"Knowledge panel, Video, People also ask, Related searches, Short videos",informational,Organic
wheel2wheel car service,5,5,390,17,0.00,https://easyauto.ae/business/wheel-to-wheel-auto-service-station/,19,0.6,0.00,0.03,92,"81, 81, 81, 81, 100, 81, 81, 81, 100, 81, 67, 81",2026-05-19,"Knowledge panel, People also ask, Related searches",informational,Organic
al tawash neon,5,5,390,16,0.00,https://easyauto.ae/business/al-tawash-neon/,19,0.6,0.00,0.04,106,"36, 24, 19, 24, 30, 24, 30, 44, 100, 82, 67, 44",2026-06-14,"Knowledge panel, Image pack",informational,Organic
advantage auto spare parts sharjah,4,4,260,7,0.00,https://easyauto.ae/business/advantage-auto-spare-parts-sharjah/,18,0.57,0.00,0.02,90,"54, 67, 44, 44, 44, 67, 100, 100, 100, 100, 100, 67",2026-05-22,Knowledge panel,informational,Organic
oldtimer motorcycles dubai,9,9,590,16,0.00,https://easyauto.ae/business/oldtimer-motorcycles/,17,0.54,0.00,0.01,72,"44, 44, 30, 36, 44, 44, 67, 100, 100, 100, 67, 82",2026-05-16,"Knowledge panel, Sitelinks, Video, People also ask, Related searches","informational, transactional",Organic
bin hamoodah auto service center,13,13,5400,12,0.00,https://easyauto.ae/business/bin-hamoodah-gmc-chevy-auto-service-center/,16,0.5,0.00,0.04,106,"81, 81, 81, 100, 81, 100, 100, 100, 100, 100, 81, 100",2026-06-26,"Knowledge panel, Reviews, People also ask, Related searches","informational, navigational",Organic
al shibl car wash,5,5,320,19,0.00,https://easyauto.ae/business/al-shibl-car-wash/,16,0.5,0.00,0.03,66200,"54, 67, 82, 82, 82, 67, 67, 67, 82, 67, 82, 100",2026-06-14,"Knowledge panel, Reviews, Video, People also ask","informational, transactional",Organic
ssg asia,7,7,1900,27,1.44,https://easyauto.ae/business/ssg-asia-auto-spare-parts-online-store/,15,0.47,21.00,0.03,3890000,"79, 79, 79, 100, 79, 79, 79, 79, 79, 79, 54, 37",2026-05-14,"Knowledge panel, Sitelinks, Video, People also ask, Related searches",navigational,Organic
adnoc khalifa city,4,4,390,19,0.00,https://easyauto.ae/business/adnoc-service-station-khalifa-city-766/,15,0.47,0.00,0.01,104,"66, 66, 54, 81, 66, 81, 100, 81, 81, 66, 54, 54",2026-06-07,"Local pack, Image, People also ask, Related searches",commercial,Organic
al mitha car wash,3,3,170,11,0.00,https://easyauto.ae/business/al-mitha-car-wash/,15,0.47,0.00,0.02,208000,"54, 54, 65, 42, 54, 65, 81, 65, 65, 81, 100, 81",2026-06-22,"Knowledge panel, Reviews, Video, People also ask",informational,Organic
leadright protech abu dhabi,7,7,1900,18,0.86,https://easyauto.ae/business/leadright-protech-abu-dhabi/,15,0.47,12.00,0.04,60,"84, 100, 100, 100, 100, 84, 84, 84, 84, 100, 100, 100",2026-05-14,"Knowledge panel, Video, People also ask, Related searches","informational, transactional",Organic
adnoc xpress,6,6,2400,26,0.00,https://easyauto.ae/business/adnoc-xpress-al-raha-144/,14,0.44,0.00,0.04,15300,"82, 100, 55, 55, 55, 55, 55, 55, 55, 66, 66, 20",2026-05-07,"Local pack, Sitelinks, Video, Image, Related searches",navigational,Organic
al ihsan used cars tr,9,9,480,14,0.00,https://easyauto.ae/business/al-ihsan-used-cars-tr/,14,0.44,0.00,0.05,118,"81, 81, 81, 81, 81, 66, 81, 81, 100, 81, 81, 54",2026-05-25,Knowledge panel,informational,Organic
ten star auto spare parts,4,4,210,12,0.00,https://easyauto.ae/business/esn-ten-srar-auto-spare-parts-l-l-c/,14,0.44,0.00,0.02,82,"53, 81, 53, 81, 53, 66, 53, 53, 100, 44, 34, 44",2026-05-17,"Knowledge panel, Video",informational,Organic
luxury lounge car showroom,7,7,590,14,0.69,https://easyauto.ae/business/luxury-lounge-car-showroom/,14,0.44,9.00,0.05,98,"44, 67, 67, 55, 67, 67, 67, 67, 82, 82, 100, 55",2026-05-16,"Knowledge panel, Image pack, Video, People also ask, Related searches",informational,Organic
golden bearing auto spare parts trading llc,7,7,480,14,0.00,https://easyauto.ae/business/golden-bearing-auto-spare-parts-trading-llc/,14,0.44,0.00,0.04,98,"66, 81, 66, 81, 54, 66, 81, 81, 81, 100, 100, 66",2026-05-25,"Local pack, Related searches",commercial,Organic
