URL,Traffic (%),Number of Keywords,Traffic,Adwords Positions,Positions with commercial intents in top 20,Positions with informational intents in top 20,Positions with navigational intents in top 20,Positions with transactional intents in top 20,Positions with unknown intents in top 20,Traffic with commercial intents in top 20,Traffic with informational intents in top 20,Traffic with navigational intents in top 20,Traffic with transactional intents in top 20,Traffic with unknown intents in top 20,Traffic Change,Answer Engines,Top Keyword,Primary Intent,LLM Prompts
https://easyauto.ae/business/adnoc-service-station-khalifa-city-766/,22.08,30,694,0,4,4,3,3,0,15,0,301,317,0,223,,adnoc near me,"Commercial, Informational",0
https://easyauto.ae/business/enoc-1077-jvc/,10.05,3,316,0,0,3,0,0,0,0,316,0,0,0,182,,enoc petrol station jvc,Informational,0
https://easyauto.ae/business/prowash-1050/,5.66,8,178,0,1,2,0,3,0,1,49,0,128,0,-52,,pro wash,Transactional,0
https://easyauto.ae/business/welldone-car-wash-3/,3.66,2,115,0,0,2,0,0,0,0,115,0,0,0,115,google,well done car wash,Informational,1
https://easyauto.ae/business/baghdad-auto-spare-parts-trading-establishment/,3.11,6,98,0,0,2,0,2,0,0,98,0,3,0,-1,,baghdad auto spare parts trading establishment,"Transactional, Informational",0
https://easyauto.ae/business/skyline-auto-repair-workshop-llc/,2.54,2,80,0,1,1,0,0,0,0,80,0,0,0,0,,skyline auto repair workshop llc,"Commercial, Informational",0
https://easyauto.ae/business/bab-alsatwa-car-accessories/,2.19,3,69,0,1,1,0,0,0,4,65,0,0,0,0,search-gpt,bab al satwa car accessories,"Commercial, Informational",4
https://easyauto.ae/business/car-wash-havoline-caltex-sharjah/,1.97,3,62,0,1,0,0,0,0,62,0,0,0,0,19,,havoline car wash,Commercial,0
https://easyauto.ae/business/bubbles-foams-car-washing-station/,1.94,2,61,0,0,1,0,0,0,0,61,0,0,0,0,,bubbles foams car washing station,Informational,0
https://easyauto.ae/business/oasis-carwash/,1.84,5,58,0,1,0,1,0,0,57,0,1,0,0,0,search-gpt,oasis car wash,"Commercial, Navigational",1
https://easyauto.ae/business/prowash-7825/,1.68,8,53,0,1,3,1,0,0,49,4,0,0,0,49,google,pro wash near me,Informational,1
https://easyauto.ae/business/al-futtaim-automall-dubai-festival-city/,1.65,30,52,0,0,3,8,2,0,0,0,8,44,0,48,,al futtaim automall dubai festival city,Navigational,0
https://easyauto.ae/business/alba-cars-marina-mall-abu-dhabi/,1.62,11,51,0,0,1,5,0,0,0,47,4,0,0,3,gemini,albacars,Navigational,1
https://easyauto.ae/business/rccr-motors-auto-repair/,1.59,1,50,0,0,1,0,0,0,0,50,0,0,0,0,,rccr motors auto repair,Informational,0
https://easyauto.ae/business/one-piece-car-wash-and-polishing/,1.59,1,50,0,0,1,0,0,0,0,50,0,0,0,0,,one piece car wash and polishing,Informational,0
https://easyauto.ae/business/al-barakah-car-wash/,1.49,2,47,0,0,2,0,1,0,0,47,0,7,0,0,,al barakah car wash,Informational,0
https://easyauto.ae/business/enoc-1029-discovery-gardens/,1.2,9,38,0,0,4,0,0,0,0,31,0,0,0,5,,enoc 1029,Informational,0
https://easyauto.ae/business/free-look-auto-repairing/,1.14,1,36,0,0,1,0,1,0,0,36,0,36,0,0,,free look auto repairing,"Transactional, Informational",0
https://easyauto.ae/business/grand-service-station-al-warqa/,0.98,13,31,0,1,5,1,0,0,0,31,0,0,0,27,,grand service station al warqa reviews,Informational,0
https://easyauto.ae/business/samira-auto-spare-parts-ajman/,0.92,5,29,0,0,3,0,2,0,0,29,0,0,0,0,,samira auto spare parts ajman,Informational,0
