Keyword,Intents,Volume,Keyword Difficulty,CPC,Competition Density,easyauto.ae,lexus.ae,ppfdubai.ae,ceramicpro.com,3mae.ae,easyauto.ae (pages),lexus.ae (pages),ppfdubai.ae (pages),ceramicpro.com (pages),3mae.ae (pages),Results
lexus,"Informational, Navigational",22200,40,0.81,0.23,0,1,0,0,0,,https://www.lexus.ae/en/,,,,136
lexus uae,Navigational,9900,34,0.68,0.39,0,1,0,0,0,,https://www.lexus.ae/en/,,,,0
لكزس,Navigational,8100,20,0.80,0.18,0,2,0,0,0,,https://www.lexus.ae/ar/,,,,132
صناعية العين,Commercial,6600,26,0.00,0.05,0,11,0,0,0,,https://www.lexus.ae/ar/our-locations/alain-service-center/,,,,108
camping,Commercial,5400,39,0.31,0.21,0,73,0,0,0,,https://www.lexus.ae/en/news/top-8-best-camping-places-in-uae/,,,,997000000
lexus rx 350,Informational,5400,27,0.35,0.17,0,2,0,0,0,,https://www.lexus.ae/en/new-cars/rx350/,,,,138
3st,Informational,4400,24,0.00,0.00,0,0,0,0,27,,,,,https://www.3mae.ae/3M/en_AE/company-mea/,99
accident history uae,Informational,4400,13,0.88,0.03,0,15,0,0,0,,https://www.lexus.ae/en/news/what-to-do-after-a-car-accident-in-dubai-and-abu-dhabi/,,,,136
cable ties,Informational,4400,12,0.57,1.00,0,0,0,0,3,,,,,https://www.3mae.ae/3M/en_AE/p/c/electrical/wire-cable/management/ties/,142
es,Informational,4400,22,0.72,0.01,0,2,0,0,0,,https://www.lexus.ae/ar/new-cars/es/,,,,113
tape,Informational,4400,22,0.45,1.00,0,0,0,0,2,,,,,https://www.3mae.ae/3M/en_AE/p/c/tapes/,138
3m,Navigational,3600,56,1.20,0.17,0,0,0,0,2,,,,,https://www.3mae.ae/3M/en_AE/company-mea/,103
car lease dubai,Informational,3600,18,1.58,0.81,0,78,0,0,0,,https://www.lexus.ae/en/offers/,,,,122
car leasing dubai,Commercial,3600,25,1.58,0.81,0,81,0,0,0,,https://www.lexus.ae/en/offers/,,,,117
lexus is 250,Informational,3600,25,0.29,0.11,0,2,0,0,0,,https://www.lexus.ae/en/pre-owned/is250/,,,,133
mat,Informational,3600,16,0.48,0.85,0,0,0,0,51,,,,,https://www.3mae.ae/3M/en_AE/p/c/building-materials/matting/,138
mats,Informational,3600,26,0.48,0.85,0,0,0,0,18,,,,,https://www.3mae.ae/3M/en_AE/p/c/building-materials/matting/,139
suv cars,Informational,3600,33,0.78,0.12,0,33,0,0,0,,https://www.lexus.ae/en/suv/,,,,192
حلبة ام القيوين,"Informational, Transactional",3600,29,0.00,0.01,0,29,0,0,0,,https://www.lexus.ae/ar/our-locations/ummalquwain-showroom/,,,,109
معارض الشارقة,Commercial,3600,19,0.23,0.16,0,16,0,0,0,,https://www.lexus.ae/ar/our-locations/sharjah-showroom/,,,,136
abu dhabi accident,Informational,2900,22,0.00,0.33,0,8,0,0,0,,https://www.lexus.ae/en/news/what-to-do-after-a-car-accident-in-dubai-and-abu-dhabi/,,,,188
abu dhabi car accident,"Informational, Transactional",2900,19,0.00,0.33,0,6,0,0,0,,https://www.lexus.ae/en/news/what-to-do-after-a-car-accident-in-dubai-and-abu-dhabi/,,,,163
abu dhabi traffic accident,Informational,2900,17,0.00,0.33,0,7,0,0,0,,https://www.lexus.ae/en/news/what-to-do-after-a-car-accident-in-dubai-and-abu-dhabi/,,,,171
accident,Informational,2900,33,1.40,0.02,0,12,0,0,0,,https://www.lexus.ae/en/news/what-to-do-after-a-car-accident-in-dubai-and-abu-dhabi/,,,,131
car tint near me,Commercial,2900,12,1.81,0.74,0,0,0,0,2,,,,,https://www.3mae.ae/3M/en_AE/car-personalization-ae/applications/window-tinting/,137
glue stick,Informational,2900,19,0.44,1.00,0,0,0,0,2,,,,,https://www.3mae.ae/3M/en_AE/p/c/adhesives/glue-sticks-tubes/,139
lexus is 350,Informational,2900,34,0.28,0.08,0,1,0,0,0,,https://www.lexus.ae/en/pre-owned/is350/,,,,138
lexus lfa,Informational,2900,40,0.00,0.33,0,3,0,0,0,,https://www.lexus.ae/en/pre-owned/lfa/,,,,139
lexus service center al badia,"Informational, Transactional",2900,21,2.98,0.05,0,1,0,0,0,,https://www.lexus.ae/en/our-locations/dubai-albadia-service-center/,,,,108
ppf,Informational,2900,12,3.71,0.52,0,2,3,0,0,,https://www.lexus.ae/en/news/the-ultimate-guide-to-ppf-coating/,https://ppfdubai.ae/,,,135
sedan car,Informational,2900,25,0.76,0.04,0,6,0,0,0,,https://www.lexus.ae/en/sedan/,,,,158
dubai to salalah,Informational,2400,21,0.16,0.09,0,7,0,0,0,,https://www.lexus.ae/en/news/a-complete-guide-for-dubai-to-salalah-road-trip/,,,,136
duct tape,Informational,2400,14,0.48,1.00,0,0,0,0,9,,,,,https://www.3mae.ae/3M/en_AE/p/c/tapes/cloth-duct/duct/,135
glass cleaner,Informational,2400,12,1.23,1.00,0,0,0,0,5,,,,,https://www.3mae.ae/3M/en_AE/p/c/cleaning-supplies/chemicals-disinfectants/glass/,1450000000
insulation tape,Informational,2400,8,0.70,1.00,0,0,0,0,3,,,,,https://www.3mae.ae/3M/en_AE/electrical-construction-maintenance-ae/solutions/electrical-tapes-for-professionals/insulation-and-protection-v2/,46400000
lc 500,Informational,2400,29,0.84,0.10,0,1,0,0,0,,https://www.lexus.ae/ar/new-cars/lc/,,,,104
lc500,Informational,2400,24,0.84,0.10,0,1,0,0,0,,https://www.lexus.ae/en/new-cars/lc/,,,,6280000
lexus 430,Informational,2400,26,0.31,0.04,0,2,0,0,0,,https://www.lexus.ae/en/pre-owned/ls430/,,,,127
lexus car,"Informational, Navigational",2400,39,0.94,0.13,0,1,0,0,0,,https://www.lexus.ae/en/,,,,348000000
lexus es,"Informational, Transactional",2400,35,1.05,0.12,0,1,0,0,0,,https://www.lexus.ae/ar/new-cars/es/,,,,121000000
lexus es 350,Informational,2400,37,0.33,0.10,0,4,0,0,0,,https://www.lexus.ae/en/new-cars/es/,,,,136
lexus ls430,Informational,2400,25,0.29,0.07,0,3,0,0,0,,https://www.lexus.ae/en/pre-owned/ls430/,,,,130
الفطيم اوتومول,Navigational,2400,32,0.42,0.58,0,10,0,0,0,,https://www.lexus.ae/ar/valuation-sell/,,,,2610
car tint,Commercial,1900,15,1.85,0.78,0,0,0,0,1,,,,,https://www.3mae.ae/3M/en_AE/car-personalization-ae/applications/window-tinting/,134
careem taxi dubai,"Navigational, Transactional",1900,50,1.26,0.34,0,74,0,0,0,,https://www.lexus.ae/en/,,,,3570000
double sided tape,Informational,1900,10,0.40,1.00,0,0,0,0,5,,,,,https://www.3mae.ae/3M/en_AE/p/c/tapes/,137
lexus is,"Informational, Transactional",1900,19,0.41,0.11,0,4,0,0,0,,https://www.lexus.ae/en/news/the-lexus-is-a-luxury-sedan-like-no-other/,,,,137
lexus is300,Informational,1900,16,0.39,0.14,0,1,0,0,0,,https://www.lexus.ae/en/pre-owned/is300/,,,,136
lexus lc 500,Informational,1900,36,0.58,0.06,0,1,0,0,0,,https://www.lexus.ae/en/new-cars/lc/,,,,11800000
lexus lx 570,Informational,1900,31,0.23,0.07,0,4,0,0,0,,https://www.lexus.ae/en/pre-owned/lx570/,,,,137
safety harness,Informational,1900,15,0.43,1.00,0,0,0,0,1,,,,,https://www.3mae.ae/3M/en_AE/p/c/ppe/fall-protection/full-body-harnesses/i/safety/personal-safety/,138
scotch tape,Informational,1900,33,0.48,1.00,0,0,0,0,1,,,,,https://www.3mae.ae/3M/en_AE/p/c/tapes/b/scotch/i/consumer/,23700000
second hand cars,Commercial,1900,42,0.30,0.65,0,24,0,0,0,,https://www.lexus.ae/en/pre-owned/,,,,97
sedan,Informational,1900,20,1.02,0.02,0,7,0,0,0,,https://www.lexus.ae/en/sedan/,,,,999000000
spill kit,Informational,1900,12,1.11,1.00,0,0,0,0,1,,,,,https://www.3mae.ae/3M/en_AE/p/c/cleaning-supplies/spill-control/kits/,42800000
tint,Commercial,1900,21,2.21,0.92,0,0,0,0,1,,,,,https://www.3mae.ae/3M/en_AE/car-personalization-ae/applications/window-tinting/,622000000
toyota ae,Navigational,1900,37,1.12,0.42,0,31,0,0,0,,https://www.lexus.ae/en/,,,,105000000
uae cars,"Informational, Transactional",1900,57,0.60,0.48,0,42,0,0,0,,https://www.lexus.ae/en/,,,,179000000
الفطيم للسيارات المستعملة,Informational,1900,16,0.28,0.60,0,19,0,0,0,,https://www.lexus.ae/ar/valuation-sell/,,,,110
صناعيه العين,Commercial,1900,24,0.00,0.04,0,11,0,0,0,,https://www.lexus.ae/ar/our-locations/alain-service-center/,,,,114
لكزس 2024,Informational,1900,20,0.61,0.13,0,1,0,0,0,,https://www.lexus.ae/ar/new-cars/,,,,137
معارض عجمان,Commercial,1900,19,0.18,0.32,0,50,0,0,0,,https://www.lexus.ae/ar/our-locations/ajman-showroom/,,,,1600000
al futtaim auto,Navigational,1600,45,1.11,0.27,0,25,0,0,0,,https://www.lexus.ae/en/trade-in/,,,,919000
al futtaim cars,Navigational,1600,37,1.15,0.65,0,10,0,0,0,,https://www.lexus.ae/en/trade-in/,,,,807000
best car wrapping dubai,Informational,1600,10,5.13,0.83,0,0,0,0,20,,,,,https://www.3mae.ae/3M/en_AE/car-personalization-ae/applications/car-wrapping/,25600000
camping spots,Commercial,1600,16,0.00,0.01,0,30,0,0,0,,https://www.lexus.ae/en/news/top-8-best-camping-places-in-uae/,,,,949000000
car finance dubai,Commercial,1600,26,1.38,0.29,0,10,0,0,0,,https://www.lexus.ae/en/news/guide-to-car-finance-in-the-uae/,,,,148000000
car loan,Informational,1600,33,1.39,0.63,0,15,0,0,0,,https://www.lexus.ae/en/news/guide-to-car-finance-in-the-uae/,,,,132
car loan uae,Informational,1600,24,1.93,0.60,0,8,0,0,0,,https://www.lexus.ae/en/news/guide-to-car-finance-in-the-uae/,,,,108
car tinting dubai,Commercial,1600,19,2.99,0.71,0,0,0,0,1,,,,,https://www.3mae.ae/3M/en_AE/car-personalization-ae/applications/window-tinting/,957000
ceramic coating,Commercial,1600,9,2.42,0.95,0,0,77,0,0,,,https://ppfdubai.ae/ceramic-coating,,,138
chassis,Informational,1600,24,0.71,0.02,0,5,0,0,0,,https://www.lexus.ae/en/news/what-is-a-chassis-in-cars-chassis-number-check-types-and-more/,,,,128
crossover,"Informational, Transactional",1600,53,0.03,0.07,0,8,0,0,0,,https://www.lexus.ae/en/news/suv-vs-crossover-what-is-the-difference/,,,,517000000
ear muffs,Commercial,1600,17,0.27,1.00,0,0,0,0,9,,,,,https://www.3mae.ae/3M/en_AE/p/c/ppe/hearing-protection/i/safety/personal-safety/,23300000
es dubai,Navigational,1600,37,2.00,0.07,0,29,0,0,0,,https://www.lexus.ae/en/,,,,851000000
hybrid,Informational,1600,29,1.01,0.03,0,4,0,0,0,,https://www.lexus.ae/en/news/what-is-a-hybrid-car-and-how-do-they-work/,,,,135
lease to own car dubai,Informational,1600,12,1.62,0.81,0,66,0,0,0,,https://www.lexus.ae/en/finance/,,,,6220000
lexus 460,Informational,1600,26,0.30,0.08,0,1,0,0,0,,https://www.lexus.ae/en/pre-owned/gx460/,,,,137
lexus gx,Informational,1600,34,0.32,0.02,0,4,0,0,0,,https://www.lexus.ae/en/articles/lexus-gx/,,,,134
lexus gx 2024,Informational,1600,26,0.54,0.01,0,3,0,0,0,,https://www.lexus.ae/en/pre-owned/gx/,,,,24600000
lexus nx,Informational,1600,27,0.66,0.15,0,1,0,0,0,,https://www.lexus.ae/en/new-cars/nx/,,,,26600000
lexus suv,Informational,1600,27,0.69,0.16,0,1,0,0,0,,https://www.lexus.ae/en/suv/,,,,103000000
lint roller,Informational,1600,20,0.09,1.00,0,0,0,0,14,,,,,https://scotch-brite.3mae.ae/3M/en_AE/scotchbrite-ae/lint-rollers/,8410000
microfiber cloth,"Commercial, Informational",1600,17,0.33,1.00,0,0,0,0,26,,,,,https://www.3mae.ae/3M/en_AE/p/c/cleaning-supplies/cloths-wipes/,32100000
saaed accident report,"Informational, Transactional",1600,19,0.00,0.33,0,25,0,0,0,,https://www.lexus.ae/en/news/what-to-do-after-a-car-accident-in-dubai-and-abu-dhabi/,,,,11700
safety goggles,Commercial,1600,10,0.27,1.00,0,0,0,0,1,,,,,https://www.3mae.ae/3M/en_AE/p/c/ppe/eye-protection/,135
sand paper,Informational,1600,12,0.47,1.00,0,0,0,0,11,,,,,https://www.3mae.ae/3M/en_AE/p/c/abrasives/sheets-rolls/sandpaper/i/automotive/commercial-vehicles/,157
scotch brite,Commercial,1600,20,0.41,1.00,0,0,0,0,1,,,,,https://scotch-brite.3mae.ae/3M/en_AE/scotchbrite-ae/,144
sell your car,Informational,1600,31,4.04,0.91,0,59,0,0,0,,https://www.lexus.ae/en/valuation-sell/,,,,1520000000
sensation motor city,"Informational, Transactional",1600,28,1.20,0.01,0,50,0,0,0,,https://www.lexus.ae/en/,,,,102
uae accident check,Informational,1600,18,1.46,0.04,0,28,0,0,0,,https://www.lexus.ae/en/news/what-to-do-after-a-car-accident-in-dubai-and-abu-dhabi/,,,,28600000
warning tape,Informational,1600,6,0.34,1.00,0,0,0,0,1,,,,,https://www.3mae.ae/3M/en_AE/p/c/tapes/barricade-warning/,277000000
window tinting,Commercial,1600,14,2.57,0.93,0,0,0,0,1,,,,,https://www.3mae.ae/3M/en_AE/car-personalization-ae/applications/window-tinting/,127
قطع غيار لكزس,Commercial,1600,13,0.34,0.28,0,2,0,0,0,,https://www.lexus.ae/ar/owners/service-plan-and-products/,,,,6050000
لكزس 430,Informational,1600,19,0.13,0.07,0,3,0,0,0,,https://www.lexus.ae/ar/pre-owned/ls430/,,,,137
لكزس es350,Informational,1600,19,0.26,0.17,0,1,0,0,0,,https://www.lexus.ae/ar/new-cars/es/,,,,125
معارض السيارات الشارقة,Commercial,1600,19,0.37,0.41,0,15,0,0,0,,https://www.lexus.ae/ar/our-locations/sharjah-showroom/?utm_source=google&utm_campaign=local_search&utm_medium=organic,,,,127
وكالة لكزس,Navigational,1600,30,1.80,0.21,0,1,0,0,0,,https://www.lexus.ae/ar/,,,,120
600,Informational,1300,29,0.00,0.33,0,11,0,0,0,,https://www.lexus.ae/ar/pre-owned/lx600/,,,,3130000000
7 seater cars in uae,Informational,1300,12,1.08,0.44,0,73,0,0,0,,https://www.lexus.ae/en/,,,,138
accident check uae,Informational,1300,17,0.27,0.06,0,24,0,0,0,,https://www.lexus.ae/en/news/what-to-do-after-a-car-accident-in-dubai-and-abu-dhabi/,,,,368000000
car dashboard symbols,Informational,1300,18,0.28,0.03,0,5,0,0,0,,https://www.lexus.ae/en/news/car-warning-lights-a-comprehensive-guide/,,,,495000000
car paint,Commercial,1300,15,2.52,0.66,0,58,0,0,3,,https://www.lexus.ae/en/news/the-ultimate-guide-to-ppf-coating/,,,https://www.3mae.ae/3M/en_AE/collision-repair-ae/car-repair-and-refinish-processes/car-paint-applications/,1630000000
car window tinting,Commercial,1300,12,2.16,0.77,0,0,0,0,1,,,,,https://www.3mae.ae/3M/en_AE/car-personalization-ae/applications/window-tinting/,9290000
car wrap,Commercial,1300,15,3.71,0.86,0,0,54,0,2,,,https://ppfdubai.ae/color-wrapping,,https://www.3mae.ae/3M/en_AE/car-personalization-ae/applications/car-wrapping/,343000000
chassis number,Informational,1300,40,0.29,0.18,0,6,0,0,0,,https://www.lexus.ae/en/news/what-is-a-chassis-in-cars-chassis-number-check-types-and-more/,,,,290000000
coolant,Informational,1300,23,1.52,0.98,0,4,0,0,0,,https://www.lexus.ae/en/news/car-coolant-guide-different-colours-and-their-purpose/,,,,138
coveralls,Informational,1300,7,0.49,1.00,0,0,0,0,16,,,,,https://www.3mae.ae/3M/en_AE/p/c/ppe/apparel/coveralls/i/safety/personal-safety/,19700000
dubai police accident report,"Informational, Transactional",1300,22,0.00,0.33,0,4,0,0,0,,https://www.lexus.ae/en/news/what-to-do-after-a-car-accident-in-dubai-and-abu-dhabi/,,,,131
fall arrester,Informational,1300,11,0.00,1.00,0,0,0,0,9,,,,,https://www.3mae.ae/3M/en_AE/p/c/ppe/fall-protection/i/safety/personal-safety/,138
hybrid cars,"Commercial, Informational",1300,27,0.80,0.22,0,7,0,0,0,,https://www.lexus.ae/en/news/what-is-a-hybrid-car-and-how-do-they-work/,,,,536000000
jeep service center abu dhabi,Commercial,1300,11,1.91,0.45,0,90,0,0,0,,https://www.lexus.ae/en/,,,,99
lexus dubai,Navigational,1300,30,1.61,0.48,0,1,0,0,0,,https://www.lexus.ae/en/,,,,14300000
lexus es300h,Informational,1300,36,0.40,0.15,0,1,0,0,0,,https://www.lexus.ae/en/new-cars/es-h/,,,,6430000
lexus ls,"Informational, Transactional",1300,28,0.35,0.07,0,2,0,0,0,,https://www.lexus.ae/en/new-cars/ls/,,,,36600000
lexus lx 600,Informational,1300,39,0.66,0.17,0,2,0,0,0,,https://www.lexus.ae/en/new-cars/lx/,,,,8890000
lexus pre owned,Transactional,1300,29,0.62,0.54,0,1,0,0,0,,https://www.lexus.ae/en/pre-owned/,,,,92900000
lexus price in uae,Informational,1300,19,0.49,0.28,0,17,0,0,0,,https://www.lexus.ae/en/new-cars/es-h/,,,,107000
lx600,Informational,1300,26,0.80,0.20,0,1,0,0,0,,https://www.lexus.ae/en/new-cars/lx/,,,,136
mist of miami window film solar films dubai,Navigational,1300,25,0.00,0.04,0,0,0,0,35,,,,,https://www.3mae.ae/3M/en_AE/car-personalization-ae/applications/window-tinting/,80
new car price in uae,Informational,1300,27,0.45,0.36,0,26,0,0,0,,https://www.lexus.ae/en/new-cars/,,,,345000000
prado price in uae,Informational,1300,22,0.38,0.29,0,52,0,0,0,,https://www.lexus.ae/en/,,,,115
safety helmet,Informational,1300,16,0.44,1.00,0,0,0,0,4,,,,,https://www.3mae.ae/3M/en_AE/p/c/ppe/head-face-protection/i/safety/personal-safety/,250000000
sandpaper,Informational,1300,29,0.04,0.93,0,0,0,0,4,,,,,https://www.3mae.ae/3M/en_AE/p/c/abrasives/sheets-rolls/sandpaper/i/automotive/commercial-vehicles/,22200000
sealant,Informational,1300,16,0.53,0.78,0,0,0,0,3,,,,,https://www.3mae.ae/3M/en_AE/p/c/adhesives/sealants/adhesive-sealants/,144000000
soprema dubai,Informational,1300,22,1.23,0.03,0,0,0,0,32,,,,,https://www.3mae.ae/3M/en_AE/company-mea/,107
window tinting near me,Commercial,1300,12,2.60,0.55,0,0,0,0,1,,,,,https://www.3mae.ae/3M/en_AE/car-personalization-ae/applications/window-tinting/,9560000
معارض الشارقه,Commercial,1300,17,0.33,0.31,0,28,0,0,0,,https://www.lexus.ae/ar/our-locations/sharjah-showroom/?utm_source=google&utm_campaign=local_search&utm_medium=organic,,,,121
ورشة,Commercial,1300,17,1.76,0.10,0,22,0,0,0,,https://www.lexus.ae/ar/our-locations/dubai-ramoul-bodyshop/,,,,21300000
3m our car auto accessories fixing,Commercial,1000,19,0.00,0.04,0,0,0,0,4,,,,,https://www.3mae.ae/3M/en_AE/car-personalization-ae/support/find-an-installer/,89
adhesive tape,Informational,1000,24,0.32,0.88,0,0,0,0,2,,,,,https://www.3mae.ae/3M/en_AE/p/c/tapes/,161000000
car loan dubai,Informational,1000,29,1.84,0.44,0,11,0,0,0,,https://www.lexus.ae/en/news/guide-to-car-finance-in-the-uae/,,,,111
car price in uae toyota,Informational,1000,32,0.40,0.46,0,75,0,0,0,,https://www.lexus.ae/en/,,,,108
car wrapping dubai,Commercial,1000,13,4.31,0.87,0,0,55,0,0,,,https://ppfdubai.ae/color-wrapping,,,27900000
cars in uae,Commercial,1000,57,0.51,0.43,0,61,0,0,0,,https://www.lexus.ae/en/,,,,182000000
dubai accident report,Informational,1000,24,0.00,0.33,0,4,0,0,0,,https://www.lexus.ae/en/news/what-to-do-after-a-car-accident-in-dubai-and-abu-dhabi/,,,,36900000
dubai car accident,Informational,1000,24,0.38,0.01,0,4,0,0,0,,https://www.lexus.ae/en/news/what-to-do-after-a-car-accident-in-dubai-and-abu-dhabi/,,,,40800000
electrical tape,Informational,1000,12,0.05,0.99,0,0,0,0,1,,,,,https://www.3mae.ae/3M/en_AE/p/c/tapes/electrical/,336000000
gasoline price in dubai,Informational,1000,26,0.57,0.02,0,72,0,0,0,,https://www.lexus.ae/en/,,,,188000000
hybrid cars in uae,Informational,1000,17,0.82,0.54,0,15,0,0,0,,https://www.lexus.ae/en/hybrid/,,,,27700000
lexus car price in dubai,Informational,1000,26,0.35,0.26,0,1,0,0,0,,https://www.lexus.ae/en/,,,,6640000
lexus car price in uae,Informational,1000,25,0.35,0.26,0,1,0,0,0,,https://www.lexus.ae/en/new-cars/,,,,6150000
lexus gs 350,Informational,1000,28,0.34,0.10,0,23,0,0,0,,https://www.lexus.ae/en/pre-owned/gs300/,,,,195
lexus gx 460,Informational,1000,26,0.31,0.14,0,1,0,0,0,,https://www.lexus.ae/en/pre-owned/gx460/,,,,5810000
lexus ls 500,Informational,1000,33,0.36,0.11,0,1,0,0,0,,https://www.lexus.ae/en/new-cars/ls/,,,,35000000
lexus rx 350 price in uae,Informational,1000,19,0.41,0.29,0,1,0,0,0,,https://www.lexus.ae/en/new-cars/rx350/,,,,760000
lexus service center sharjah,"Informational, Transactional",1000,18,5.33,0.06,0,1,0,0,0,,https://www.lexus.ae/en/our-locations/sharjah-service-center/,,,,590000
littmann stethoscope,Informational,1000,24,0.27,1.00,0,0,0,0,41,,,,,https://littmann.3mae.ae/3M/en_AE/littmann-ae/,137
lx570,Informational,1000,26,0.37,0.06,0,2,0,0,0,,https://www.lexus.ae/en/pre-owned/lx570/,,,,9990000
new car,Informational,1000,26,0.77,0.29,0,24,0,0,0,,https://www.lexus.ae/en/new-cars/,,,,4370000000
rx,Informational,1000,33,0.00,0.01,0,5,0,0,0,,https://www.lexus.ae/en/new-cars/rx350/,,,,132
rx 350,Informational,1000,47,0.45,0.13,0,1,0,0,0,,https://www.lexus.ae/en/new-cars/rx350/,,,,91300000
rx350,Informational,1000,29,0.45,0.13,0,1,0,0,0,,https://www.lexus.ae/en/new-cars/rx350/,,,,134
safety belt,Informational,1000,13,0.00,1.00,0,0,0,0,4,,,,,https://www.3mae.ae/3M/en_AE/p/c/ppe/fall-protection/full-body-harnesses/i/safety/personal-safety/,525000000
tint near me,Informational,1000,15,2.78,0.44,0,0,0,0,1,,,,,https://www.3mae.ae/3M/en_AE/car-personalization-ae/applications/window-tinting/,199000000
toyota prado price in uae,Informational,1000,24,0.37,0.27,0,69,0,0,0,,https://www.lexus.ae/en/,,,,4590000
сити центр аджман,Informational,1000,21,0.00,0.08,0,62,0,0,0,,https://www.lexus.ae/en/,,,,245000
لكزس is,"Informational, Transactional",1000,16,0.16,0.10,0,2,0,0,0,,https://www.lexus.ae/ar/pre-owned/is350/,,,,138
معارض السيارات الشارقه,Commercial,1000,16,0.31,0.01,0,16,0,0,0,,https://www.lexus.ae/ar/our-locations/sharjah-showroom/,,,,7050000
350,Informational,880,15,0.00,0.33,0,1,0,0,0,,https://www.lexus.ae/ar/pre-owned/is350/,,,,101
accident report,Informational,880,23,2.07,0.02,0,11,0,0,0,,https://www.lexus.ae/en/news/what-to-do-after-a-car-accident-in-dubai-and-abu-dhabi/,,,,109000
best car lease dubai,Commercial,880,9,1.41,0.94,0,83,0,0,0,,https://www.lexus.ae/en/offers/,,,,107
best suv in uae,Commercial,880,9,0.86,0.38,0,44,0,0,0,,https://www.lexus.ae/en/news/best-luxury-suv-in-uae/,,,,138
body shop near me,Transactional,880,27,1.50,0.20,0,81,0,0,0,,https://www.lexus.ae/en/our-locations/dubai-ramoul-bodyshop/,,,,3840000000
car lease deals dubai,Commercial,880,18,1.36,0.71,0,63,0,0,0,,https://www.lexus.ae/en/offers/,,,,105
car leasing,Commercial,880,19,1.47,0.64,0,65,0,0,0,,https://www.lexus.ae/en/finance/,,,,170000000
clear tape,Informational,880,9,0.00,1.00,0,0,0,0,2,,,,,https://www.3mae.ae/3M/en_AE/p/c/tapes/office/clear-office/b/scotch/,135
double tape,Informational,880,12,0.09,1.00,0,0,0,0,2,,,,,https://www.3mae.ae/3M/en_AE/p/c/tapes/,147
dubai accident check,Informational,880,15,0.33,0.05,0,19,0,0,0,,https://www.lexus.ae/en/news/what-to-do-after-a-car-accident-in-dubai-and-abu-dhabi/,,,,42500000
dubai car accident check,Informational,880,15,0.33,0.05,0,20,0,0,0,,https://www.lexus.ae/en/news/what-to-do-after-a-car-accident-in-dubai-and-abu-dhabi/,,,,20800000
dubai to salalah by road,Informational,880,10,0.17,0.02,0,1,0,0,0,,https://www.lexus.ae/en/news/a-complete-guide-for-dubai-to-salalah-road-trip/,,,,121
electronic stability control,Informational,880,33,0.00,0.19,0,2,0,0,0,,https://www.lexus.ae/en/news/what-is-electronic-stability-control-esc/,,,,121
es350,Informational,880,35,0.53,0.13,0,1,0,0,0,,https://www.lexus.ae/en/new-cars/es/,,,,21800000
fuel injector cleaner,Informational,880,19,0.52,1.00,0,3,0,0,0,,https://www.lexus.ae/en/news/what-is-an-injector-cleaner-and-when-to-use-it/,,,,136
gs350,Informational,880,26,0.38,0.07,0,13,0,0,0,,https://www.lexus.ae/en/pre-owned/gs300/,,,,6980000
injector cleaner,Informational,880,17,0.51,1.00,0,2,0,0,0,,https://www.lexus.ae/en/news/what-is-an-injector-cleaner-and-when-to-use-it/,,,,25800000
is250,Informational,880,20,0.34,0.05,0,1,0,0,0,,https://www.lexus.ae/en/pre-owned/is250/,,,,31600000
lexis gs,Informational,880,18,0.24,0.06,0,3,0,0,0,,https://www.lexus.ae/en/pre-owned/gs300/,,,,27800000
lexus company near me,Navigational,880,26,1.86,0.29,0,1,0,0,0,,https://www.lexus.ae/en/our-locations/,,,,132000000
lexus es300,"Informational, Transactional",880,36,0.54,0.08,0,1,0,0,0,,https://www.lexus.ae/en/new-cars/es-h/,,,,4080000
lexus gs,Informational,880,25,0.31,0.05,0,3,0,0,0,,https://www.lexus.ae/en/pre-owned/gs300/,,,,139
lexus is350 f sport,Informational,880,16,0.57,0.19,0,2,0,0,0,,https://www.lexus.ae/en/pre-owned/is350/,,,,104
lexus lc500,Informational,880,18,0.52,0.06,0,1,0,0,0,,https://www.lexus.ae/en/new-cars/lc/,,,,68
lexus ls 460,Informational,880,22,0.09,0.08,0,2,0,0,0,,https://www.lexus.ae/en/pre-owned/ls460/,,,,10800000
lexus lx,"Informational, Transactional",880,33,13.88,0.09,0,2,0,0,0,,https://www.lexus.ae/en/new-cars/lx/,,,,38800000
lexus near me,Navigational,880,29,1.86,0.29,0,1,0,0,0,,https://www.lexus.ae/en/our-locations/,,,,146000000
lexus ux,"Informational, Navigational",880,36,0.69,0.14,0,1,0,0,0,,https://www.lexus.ae/en/new-cars/ux300h/,,,,25200000
ls 500,Informational,880,23,0.31,0.09,0,1,0,0,0,,https://www.lexus.ae/ar/new-cars/ls/,,,,516000000
ls500,Informational,880,33,0.31,0.09,0,1,0,0,0,,https://www.lexus.ae/en/new-cars/ls/,,,,4760000
luxes,"Informational, Transactional",880,52,1.02,0.71,0,1,0,0,0,,https://www.lexus.ae/en/,,,,667000000
lx 570,Informational,880,27,5.79,0.17,0,4,0,0,0,,https://www.lexus.ae/en/pre-owned/lx570/,,,,20100000
