Keyword,Intent,Volume,Trend,Keyword Difficulty,CPC (USD),SERP Features
xpel,"Navigational, Transactional",720,"1.00,0.88,0.88,0.72,0.72,0.88,0.72,0.59,0.72,0.72,0.59,0.88",61,1.42,"Sitelinks, Video, Video carousel, People also ask, Related searches"
xpel syrup,Informational,720,"0.48,0.39,0.39,0.39,0.59,0.72,0.88,0.72,1.00,1.00,0.88,0.59",12,0.74,"AI Overview, Image, Image pack, People also ask, Related searches"
xpel ppf,Navigational,480,"1.00,0.81,1.00,0.81,0.67,1.00,1.00,0.81,1.00,1.00,0.81,0.81",24,3.57,"Sitelinks, People also ask, Related searches, Ads bottom"
xpel syrup uses,Informational,320,"0.67,0.67,0.54,0.44,0.67,0.81,1.00,0.81,0.81,0.54,0.54,0.67",17,0.00,"Featured snippet, Image, Image pack, Related searches"
xpel syrup ambroxol hydrochloride,Informational,110,"0.03,0.05,0.03,0.10,0.36,0.44,0.44,0.54,0.67,0.82,0.67,1.00",9,0.00,"AI Overview, Image, People also ask, Related searches"
xpel paint protection film cost,Commercial,40,"0.11,0.11,0.11,0.78,0.11,0.22,0.44,0.11,0.44,1.00,0.78,1.00",13,2.01,"Sitelinks, Video, People also ask"
xpel syrup used for cough,Informational,40,"0.03,0.03,0.05,0.03,0.03,1.00,0.08,0.03,0.03,0.03,0.03,0.05",10,0.00,"AI Overview, Image, People also ask, Related searches"
3m ppf vs xpel,Informational,30,"0.78,1.00,0.11,0.22,0.11,0.11,0.56,0.11,0.11,0.11,0.11,0.11",7,0.00,"Sitelinks, AI Overview, Video, Video carousel, People also ask, Related searches"
mhp xpel,Informational,30,"0.33,0.33,0.22,0.11,1.00,0.22,0.11,0.56,0.11,0.56,0.11,0.11",18,0.35,"Sitelinks, AI Overview, Video, People also ask, Related searches"
xpel body care,,30,"0.33,0.11,0.11,0.22,0.11,0.33,1.00,0.11,0.11,0.22,0.56,0.11",,0.00,
xpel cough syrup,,30,"0.33,0.11,0.11,0.11,0.11,0.78,0.33,0.11,0.44,0.33,0.11,1.00",,0.00,
xpel diuretic reviews,,30,"1.00,0.56,0.22,0.22,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.56",,0.00,
xpel dosage,,30,"0.11,0.78,0.11,0.11,0.11,0.11,0.11,0.11,0.22,0.22,0.78,1.00",,0.00,
xpel dubai,Navigational,30,"0.22,0.11,1.00,0.11,0.22,0.44,0.11,0.33,0.44,0.11,0.11,0.11",18,6.37,"Sitelinks, Video, People also ask, Local pack, Related searches"
xpel egypt,,30,"0.78,0.78,0.11,1.00,0.44,0.33,0.22,0.22,0.11,0.11,0.11,0.11",,0.00,
xpel ppf cleaner,,30,"0.11,0.11,0.11,0.22,1.00,0.11,0.11,0.11,0.22,0.11,1.00,0.56",,0.00,
xpel stealth,,30,"0.14,0.14,0.29,0.14,1.00,0.14,1.00,0.14,0.14,0.14,1.00,0.71",,4.40,
xpel syrup dose,,30,"0.11,1.00,0.11,0.11,0.11,0.56,0.11,0.56,0.22,0.33,0.11,0.56",,0.00,
xpel دواء,,30,"0.14,0.14,0.14,0.14,0.14,1.00,0.14,1.00,0.14,0.71,0.14,0.43",,0.00,
دواء xpel للاطفال,,30,"0.43,0.14,0.57,0.29,1.00,0.57,0.14,0.29,0.14,0.14,0.57,0.14",,0.00,
mhp xpel side effects,,20,"0.14,0.29,0.14,0.14,0.14,1.00,0.29,0.14,0.00,0.14,0.29,0.00",,0.00,
xpel ambroxol,,20,"0.14,0.14,0.29,0.14,0.14,0.29,0.29,1.00,0.14,0.14,0.14,0.14",,0.00,
xpel ambroxol hydrochloride syrup uses,,20,"0.14,1.00,0.14,0.43,0.14,0.14,0.43,0.14,0.14,0.14,0.14,0.29",,0.00,
xpel diuretic,,20,"0.25,0.25,0.50,0.25,0.25,0.25,0.50,0.50,0.25,0.50,0.25,1.00",,0.30,
xpel diuretic side effects,,20,"0.14,0.14,0.14,0.14,0.57,0.14,0.14,0.29,1.00,0.14,0.14,0.14",,0.00,
xpel film,,20,"0.20,0.20,0.20,0.20,0.20,1.00,0.60,0.40,0.20,0.20,0.80,1.00",,3.28,
xpel hair care,,20,"1.00,0.20,0.40,0.20,0.40,0.40,0.20,0.20,0.20,0.20,0.80,1.00",,0.00,
xpel inc,,20,"0.14,0.14,0.14,0.14,0.14,1.00,0.29,0.14,0.14,0.14,0.14,0.14",,0.00,
xpel installers,,20,"0.11,0.11,0.11,0.11,1.00,0.44,0.22,0.11,0.11,0.56,0.22,0.11",,3.00,
xpel medicine,,20,"0.20,0.20,0.80,1.00,0.40,0.20,0.20,0.20,0.80,0.20,0.60,0.40",,0.00,
xpel mhp,,20,"0.20,0.20,0.20,0.20,0.20,0.20,1.00,0.20,0.20,0.60,0.20,1.00",,0.00,
xpel paint protection,,20,"0.11,0.11,0.22,0.11,0.11,0.11,1.00,0.22,0.22,0.11,0.11,0.22",,0.00,
xpel paint protection film review,,20,"0.20,0.20,0.20,0.20,1.00,0.20,0.80,0.20,0.20,0.20,0.20,0.20",,2.97,
xpel ppf cost,,20,"0.71,0.29,0.57,0.14,1.00,0.14,0.29,0.43,0.14,0.14,0.14,0.14",,2.01,
xpel ppf installation,,20,"0.11,0.11,0.44,0.11,0.11,0.11,0.33,1.00,0.11,0.11,0.11,0.33",,0.00,
xpel ppf price,,20,"0.11,1.00,0.22,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,1.00",,3.17,
xpel ppf self healing,,20,"0.25,0.25,0.25,0.25,1.00,0.25,0.25,0.25,0.50,1.00,0.50,0.50",,0.00,
xpel ppf vs 3m,,20,"0.29,0.29,0.14,0.14,0.57,1.00,0.14,0.14,0.14,0.14,0.14,0.14",,0.00,
xpel pre cut,,20,"0.20,0.20,1.00,0.20,0.40,0.40,0.20,0.20,0.80,0.20,0.20,0.20",,0.00,
xpel price,,20,"1.00,0.20,0.20,0.20,0.20,1.00,0.20,1.00,0.00,0.20,0.20,0.00",,0.00,
xpel protection film,,20,"0.29,0.14,1.00,0.14,0.14,0.29,0.14,0.14,0.29,0.14,0.43,0.43",,3.63,
xpel side effects,,20,"0.14,0.14,0.43,1.00,0.14,0.14,0.00,0.14,0.14,0.29,0.00,0.00",,0.00,
xpel syrup dosage,,20,"0.60,0.20,0.20,0.20,0.80,0.20,0.20,0.60,0.20,0.20,1.00,0.40",,0.00,
xpel syrup dosage for adults,,20,"1.00,0.20,0.20,0.20,0.20,0.60,0.60,0.60,0.40,0.20,0.20,0.20",,0.00,
xpel syrup for babies,,20,"0.00,0.60,0.20,1.00,0.20,0.20,1.00,0.20,0.20,0.40,0.00,0.20",,0.00,
xpel syrup for cough,,20,"0.11,0.11,0.11,0.11,1.00,0.11,0.56,0.11,0.11,0.11,0.11,0.11",,0.00,
xpel syrup for what,,20,"0.25,0.25,0.75,0.50,0.25,0.25,0.25,0.75,1.00,0.25,0.25,0.25",,0.00,
xpel syrup side effects,,20,"0.14,0.14,0.14,0.14,0.14,0.29,0.14,1.00,0.14,0.14,0.14,0.29",,0.00,
xpel syrup uae,,20,"0.11,0.11,0.11,0.11,0.11,0.33,0.11,0.11,0.11,1.00,0.11,0.11",,0.00,
xpel technologies,,20,"0.20,0.20,0.20,0.20,0.60,0.20,0.20,0.20,0.40,1.00,0.20,0.00",,0.00,
xpel ultimate,,20,"0.11,0.33,0.33,0.22,0.11,0.33,0.22,0.11,0.22,0.11,0.11,1.00",,0.00,
xpel ultimate paint protection film,,20,"0.57,0.14,0.29,0.14,0.14,0.00,0.00,1.00,0.71,0.29,0.00,0.00",,0.00,
xpel ultimate plus,,20,"0.33,0.11,0.11,0.44,0.11,0.11,0.22,1.00,0.11,0.11,0.44,0.11",,2.72,
xpel uses,,20,"0.25,0.25,0.25,0.25,1.00,1.00,0.75,0.25,1.00,0.75,0.25,0.25",,0.00,
